,Id,Soil type,StuckInMud,VisibleSnow,Town,Area,Date,EPSG,Latitude,Longitude,NSDSI1,NSDSI2,NSDSI3,SurfaceTemp,NSDSI1-2week,NSDSI2-2week,NSDSI3-2week,SurfaceTemp-2week,NSDSI1-4week,NSDSI2-4week,NSDSI3-4week,SurfaceTemp-4week
67,68,chernozems,False,False,Soledar,Soledar,2023-01-02,32637,434099.2169638636,5392592.099884981,0.04322338596216977,0.045176047708520545,0.022089075294587576,33556.0,0.04322338596216977,0.045176047708520545,0.022089075294587576,33556.0,0.04322338596216977,0.045176047708520545,0.022089075294587576,33556.0
68,69,podzolic,False,False,Chervonopopivka,Kremnina,2023-10-01,32637,433834.2212467689,5440824.523183597,,,,,,,,,,,,
69,70,chernozems,False,True,Fedorivka,Soledar,2023-11-01,32637,426983.8196510311,5404095.206063092,0.04560288560632085,0.04778187708089625,0.0233334798084106,,0.04560288560632085,0.04778187708089625,0.0233334798084106,,0.04560288560632085,0.04778187708089625,0.0233334798084106,
70,71,chernozems,False,True,Neskuchne,Velyka Novosilka,2023-01-16,32637,330949.98458825366,5297975.00755422,-0.03570722057368941,-0.03447617228535956,-0.01754044992954667,34654.0,0.14413172195636303,0.1684040940106141,0.07766268956776365,38715.0,0.14413172195636303,0.1684040940106141,0.07766268956776365,38715.0
71,72,chernozems,False,True,Mykilske,Vuhledar,2023-08-02,32637,375180.7472711888,5291414.5385135915,,,,,,,,,,,,
72,73,chernozems,False,True,Opytne,Pisky,2023-09-02,32637,404294.00784189516,5328770.303625113,,,,,,,,,,,,
73,74,chernozems,False,True,Shevchenko,Vuhledar,2023-02-15,32637,361817.4812511173,5288254.280101932,,,,,0.056096981221773236,0.059430873835305965,0.028857911469797017,36887.0,0.00036104341547071037,0.00036117381489841985,0.00018055430170623815,34747.0
74,75,chernozems,False,True,Kolomyichykha,Svatove,2023-02-15,32637,424034.3747520363,5480768.761882944,-0.07625166686871136,-0.07084929038071638,-0.03672563788170725,35833.0,,,,,0.0716566158212132,0.07718761941153993,0.03715967623252391,32967.0
75,76,chernozems,False,True,Bilohorivka,Vrubivka,2023-02-17,32637,441009.9256448709,5400294.964634924,0.06345698500394634,0.06775661554019889,0.03276817737202478,36330.0,0.06345698500394634,0.06775661554019889,0.03276817737202478,36330.0,0.06345698500394634,0.06775661554019889,0.03276817737202478,36330.0
76,77,chernozems,False,False,Klishchiivka,Bakhmut,2023-02-25,32637,419118.1917090221,5376056.520551853,,,,,,,,,0.11589885191105943,0.13109229884112764,0.061514134752593624,36440.0
77,78,chernozems,False,True,Yampolivka,Kremnina,2023-02-26,32637,427670.3539888607,5434698.114411324,,,,,0.08168127286650217,0.08894653942370055,0.042579615009314294,36772.0,0.08168127286650217,0.08894653942370055,0.042579615009314294,36772.0
78,79,chernozems,False,False,Mariinka,Mariinka,2023-02-25,32637,386673.1571626659,5308171.164083,,,,,,,,,0.0823565000378129,0.08974781605406297,0.04294672082659621,36441.0
79,80,chernozems,False,True,Mykil's'ke,Vuhledar,2023-02-25,32637,374794.76799071656,5291627.44883825,,,,,,,,,0.06309877766765774,0.06734837799717913,0.032577178918642334,36280.0
80,81,chernozems,False,True,Avdiivka,Avdiivka,2023-02-26,32637,404509.6995364909,5329715.590581132,,,,,,,,,0.13167763390646006,0.15164602346805736,0.07047907593258852,36306.0
81,82,chernozems,False,False,Vodyane,Avdiivka,2023-02-03,32637,401974.69179137214,5329383.748943804,0.11442039854296121,0.12920396806194048,0.060681818181818184,36719.0,0.11491547185961909,0.12983558994197292,0.060960381428084916,36718.0,0.15184959659004416,0.1790361662029974,0.08216300811333965,38736.0
82,83,alluvial,False,False,Verkhnyokamianske,Sjevjerodonetsk,2023-04-03,32637,442705.6817825331,5414567.637379916,0.06504246759052303,0.06956729619890031,0.033614416079473255,36527.0,0.06504246759052303,0.06956729619890031,0.033614416079473255,36527.0,0.06504246759052303,0.06956729619890031,0.033614416079473255,36527.0
83,84,chernozems,False,True,Ivanivske,Bakhmut,2023-07-03,32637,421865.085789585,5378624.88882322,,,,,,,,,,,,
84,85,chernozems,False,False,Pisky,Pisky,2023-03-01,32637,399461.2821120769,5325317.821022927,,,,,,,,,0.1314905000342959,0.15139788343073765,0.07037186593737381,37116.0
85,86,alluvial,False,False,Verkhnokamyanske,Sjevjerodonetsk,2023-03-14,32637,442556.9231367037,5414255.770343758,0.11552044053390795,0.13060837788455032,0.0613009782746792,37084.0,0.11552044053390795,0.13060837788455032,0.0613009782746792,37084.0,0.11552044053390795,0.13060837788455032,0.0613009782746792,37084.0
86,87,chernozems,False,False,Makiivka,Svatove,2023-03-20,32637,426942.1904280481,5453427.010577825,,,,,,,,,,,,
87,88,chernozems,False,False,Vodyane,Avdiivka,2023-03-19,32637,400243.6661110155,5329342.146459207,,,,,,,,,,,,
88,89,alluvial,False,False,Kremnina,Kremnina,2023-03-22,32637,438323.4302499869,5425146.750567678,,,,,,,,,0.05894440839281852,0.06263647856568211,0.030367192288404746,
89,90,chernozems,False,False,Avdiivka,Avdiivka,2023-03-25,32637,407809.38761352655,5328037.053909633,,,,,,,,,,,,
90,91,chernozems,False,False,Avdiivka,Avdiivka,2023-03-26,32637,407139.6961124516,5327183.377519288,,,,,,,,,,,,
91,92,chernozems,False,False,Vodyane,Avdiivka,2023-03-30,32637,400527.0189609561,5328310.933220751,,,,,,,,,,,,
92,93,chernozems,False,False,Bakhmut,Bakhmut,2023-09-04,32637,421185.9836791402,5384996.9733073795,,,,,,,,,,,,
93,94,Unknown,True,False,Sweden,Silvakra,2023-10-03,4976,3504752.466715262,841195.1100955791,,,,,,,,,,,,
